"Municipality","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk","gm_code"
3,0.56763761146918,0.130042910568989,0,0,0.243822180722318,0,"GM0003"
5,0.928012856991132,0,0,0,0.0719871430088684,0,"GM0005"
7,0.864169944578814,0,0,0,0.135830055421186,0,"GM0007"
9,0.548405648059929,0.0376422125949412,0,0,0.322966160606242,0,"GM0009"
10,0.793994884319905,0.0395573156605798,0,0,0.115929381727235,0.0190394983033478,"GM0010"
14,0.307493988203548,0.0334054604593049,0.0580497464713413,0.0388714907123965,0.501295889707671,0.0456627329697389,"GM0014"
15,0.555753803585701,0.113504572091551,0,0,0.210745891007853,0,"GM0015"
17,0.385864483031773,0,0,0,0.614135516968227,0,"GM0017"
18,0.649857246198845,0.0828679668994567,0.0186968026486819,0,0.205125544295338,0.0434524399576781,"GM0018"
22,0.730300081079388,0,0,0,0.219455819060135,0.0502440998604777,"GM0022"
24,0.567355098699339,0.106021662680557,0.0720152685624378,0,0.254607970057665,0,"GM0024"
25,0.621237571188447,0.1303618155098,0,0,0.0725468932341505,0,"GM0025"
34,0.543338216950912,0.0426687746411768,0.178216818058363,0.0668516762114998,0.101417467717833,0.0453841464266553,"GM0034"
37,0.637731949579214,0.00740178333041723,0,0,0.240209348437547,0.010880802529298,"GM0037"
40,0.700277535340484,0.047897640723635,0,0,0.251824823935881,0,"GM0040"
47,0.902796243549863,0.0254832656367629,0,0,0.0585910938377155,0.0131293969756581,"GM0047"
48,0.773180384706267,0,0.0259900882986549,0,0.0650967055864328,0,"GM0048"
50,0.658002054842354,0.0154081463830032,0.106111185155187,0.0262268803857972,0.172681929117419,0,"GM0050"
51,0.584265563710703,0.0950147570141793,0.0411595167588786,0.00853078583479327,0.163654260071273,0,"GM0051"
53,0.532518350537448,0.0414022540362778,0.137519429896963,0.0408037010914037,0.0872174355437166,0,"GM0053"
55,0.668097682446714,0.0420543951778558,0,0,0.241181767917384,0,"GM0055"
56,0.60719281649259,0.107017989089061,0.141407282343122,0,0.110637579811757,0.033744332263469,"GM0056"
58,0.641222460970313,0.0484048148293101,0,0,0.259860853049778,0.0222256372512405,"GM0058"
59,0.626156588623394,0.126372675508732,0,0,0.23408553151319,0.0133852043546846,"GM0059"
60,0.231529187040426,0,0,0,0.698440384984592,0.0700304279749813,"GM0060"
63,0.931305822735806,0,0,0,0.0686941772641944,0,"GM0063"
70,0.472673380471353,0.105095932730204,0.0177811834604049,0,0.277788878546398,0.057809346372014,"GM0070"
72,0.523793877748974,0.0726918512794272,0.0377250744785476,0,0.236897387378677,0.128891809114374,"GM0072"
74,0.580735542833982,0.0327172243430529,0.0611476879147712,0.0391771575472431,0.258918692734565,0.0112782707494664,"GM0074"
79,0.627546381716616,0.113070105019259,0,0,0,0.198663442655103,"GM0079"
80,0.392301667051345,0.0225962864431551,0.026012777138007,0.00556515998577636,0.501260006410147,0.0247276127520162,"GM0080"
81,0.463477661034173,0,0,0,0.380604693948408,0,"GM0081"
82,0.235605623268239,0,0,0,0.63942037223986,0.124974004491901,"GM0082"
85,0.688124677651844,0.037009441930132,0,0.0181026443502495,0.256763236067774,0,"GM0085"
86,0.722884024375301,0.0664588888239727,0.0171664533036169,0,0.154253350072409,0,"GM0086"
90,0.707598024288652,0.0185045626751847,0.0204764320477546,0.0135096314906966,0.169180844960752,0,"GM0090"
93,1,0,0,0,0,0,"GM0093"
96,0,0,0,0,1,0,"GM0096"
98,0.621911390267758,0,0.0117230835883881,0,0.228432446518773,0.0642188099279696,"GM0098"
106,0.575915500853828,0.0461277919568853,0.0465978498439948,0.0108114714880233,0.213455235117645,0.0980672399092342,"GM0106"
109,0.681491788208601,0.0626640894646612,0.017904369500855,0,0.0849322268318368,0.0750816484280518,"GM0109"
114,0.697877364762951,0.0156297851079268,0.0139517377160541,0,0.245993113778683,0.0046240921290459,"GM0114"
118,0.613445526567068,0.055974652076068,0.013189529959473,0,0.277722126885918,0.0172580275574037,"GM0118"
119,0.601797038446564,0.0135347508615063,0.0516863200734099,0.0186008548135227,0.234137678599308,0.0802433572056897,"GM0119"
140,0.643477003436114,0.151906740652996,0.0814943881335369,0,0.123121867777352,0,"GM0140"
141,0.529968425561664,0.0450210165019144,0.0960054831114913,0.0439825468038005,0.260768857946061,0.0242536700750687,"GM0141"
147,0.667796015133314,0,0,0,0.315832197341129,0,"GM0147"
148,0.958583037209615,0,0,0,0.041416962790385,0,"GM0148"
150,0.419108038119628,0.05501730891144,0.124537840500866,0,0.333527451715007,0.0456597485128472,"GM0150"
153,0.548388162058249,0.0194787948542202,0.0221224861065067,0.0311666412025226,0.301813256797327,0.0549660294553759,"GM0153"
158,0.630215424294561,0,0,0,0.283839861890114,0.031963285626359,"GM0158"
160,0.604558475105999,0.0739885154341568,0,0,0.288386332557741,0.0225309935971446,"GM0160"
163,0.792013544390988,0.0333770108285408,0.0170785444084787,0,0.122361205457735,0,"GM0163"
164,0.498282020876655,0.0755898873693419,0.0440256228629465,0,0.299042831610633,0.052354377445933,"GM0164"
166,0.346093126913299,0.10902264514804,0.052620645162858,0,0.224539960495373,0,"GM0166"
168,0.630035259592369,0,0,0,0.36996474040763,0,"GM0168"
171,0.644477064689044,0.0505758695592429,0,0.0044879701467767,0.262087864350305,0.0146381002755374,"GM0171"
173,0.518424759976846,0.039555822968472,0,0,0.364630794273428,0.039555822968472,"GM0173"
175,0.693422905291281,0,0.0734920205626688,0,0.23308507414605,0,"GM0175"
177,0.628118250139724,0.0765514745184939,0.0282127721079211,0,0.2530111171799,0.0141063860539605,"GM0177"
180,0.790335951984083,0.0988772738623619,0,0,0.110786774153555,0,"GM0180"
183,0.543829098898387,0.041399015387672,0,0,0.19510669934854,0,"GM0183"
184,0.533182122447439,0.119269501002603,0,0,0.23894177650639,0.0275707885880125,"GM0184"
189,0.547634815318235,0.0531922389534995,0,0,0.312272959453469,0.0868999862747969,"GM0189"
193,0.438760452607283,0.0504635700610042,0.0859378869195478,0.0377276882867518,0.360744949030814,0.00547728231555664,"GM0193"
196,0.635290236333818,0.0751699749600143,0.289539788706167,0,0,0,"GM0196"
197,0.345222167334574,0.055339258852275,0,0,0.508790495453518,0,"GM0197"
200,0.517136773073703,0.00689726729975304,0.0299753057756986,0.00585467384835864,0.381151631083656,0.0434592090388936,"GM0200"
202,0.464059640822847,0.0694498404205711,0.093079582992376,0.0790279673719532,0.193952819796469,0.0936126896352764,"GM0202"
203,0.832257260786223,0.0415377400175021,0.0470345834791015,0,0.0634995532624582,0.0156708624547158,"GM0203"
209,0.397227817888975,0.0394648345813968,0,0.0394648345813968,0.412049123126735,0,"GM0209"
213,0.450047818516134,0.034917252309549,0.0436968346835367,0,0.242419305347343,0.0931071542994908,"GM0213"
214,0.843361584736097,0.0444210901861163,0,0,0,0,"GM0214"
216,0.403185354942376,0.0860018774807947,0.247628379280924,0,0.240460186725805,0.0227242015701002,"GM0216"
221,1,0,0,0,0,0,"GM0221"
222,0.624637903110608,0.0265140496292126,0,0,0.244397083737954,0.104450963522225,"GM0222"
225,0.734396130380076,0,0,0,0.123190831520997,0.0685851413614102,"GM0225"
226,0.30124454250582,0,0.221599951348582,0,0.477155506145599,0,"GM0226"
228,0.646719383260519,0.0244309147022101,0.00815010114182345,0,0.2406230296901,0.0137548735591392,"GM0228"
230,0.825077420066043,0,0,0,0.174922579933957,0,"GM0230"
232,0.622541533205279,0,0.118699648859821,0,0.165023386616852,0,"GM0232"
233,0.503288869568774,0,0.0982183749867696,0,0.398492755444457,0,"GM0233"
236,0.511540082717469,0.0819716139853989,0.0987558991666663,0,0.283519993961335,0.0242124101691312,"GM0236"
241,0.397459186626075,0.202878090147028,0,0,0.356371306107434,0.0432914171194627,"GM0241"
